Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMÓVEIS;IPI - VINCULADO À IMPORTACAO;IPI - OUTROS;IRPF;IRPJ - ENTIDADES FINANCEIRAS;IRPJ - DEMAIS EMPRESAS;IRRF - RENDIMENTOS DO TRABALHO;IRRF - RENDIMENTOS DO CAPITAL;IRRF - REMESSAS P/ EXTERIOR;IRRF - OUTROS RENDIMENTOS;IMPOSTO S/ OPERAÇÕES FINANCEIRAS;IMPOSTO TERRITORIAL RURAL;IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF;CPMF;COFINS;COFINS - FINANCEIRAS;COFINS - DEMAIS;CONTRIBUIÇÃO PARA O PIS/PASEP;CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS;CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS;CSLL;CSLL - FINANCEIRAS;CSLL - DEMAIS;CIDE-COMBUSTÍVEIS (parc. não dedutível);CIDE-COMBUSTÍVEIS;CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES;CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público;CONTRIBUICÕES PARA FUNDAF;REFIS;PAES;RETENÇÃO NA FONTE - LEI 10.833, Art. 30;PAGAMENTO UNIFICADO;OUTRAS RECEITAS ADMINISTRADAS;DEMAIS RECEITAS;RECEITA PREVIDENCIÁRIA;RECEITA PREVIDENCIÁRIA - PRÓPRIA;RECEITA PREVIDENCIÁRIA - DEMAIS;ADMINISTRADAS POR OUTROS ÓRGÃOS
2000;Janeiro;AC;231;0;292096;0;0;167;1558;177197;643;676835;1084940;27652;570;30894;1220;28447;0;103;1770475;;;387364;;;392830;;;;;1243858;;28329;;;;;20911;;;;;
2000;Janeiro;AL;475088;33873;1329338;812470;0;141735;3676847;460804;561;2672106;4454947;544056;191382;309573;26939;4252539;0;97248;7493570;;;2545254;;;1775834;;;;;3179753;;125043;;;;;127189;;;;;
2000;Janeiro;AM;11679405;0;1507146;1791471;27796;4414483;1800346;700623;90828;10058713;10174718;1241708;3580022;1029164;843881;40171;0;832562;44000981;;;11671871;;;7652859;;;;;4072567;;161647;;;;;187988;;;;;
2000;Janeiro;AP;24267;0;424862;1419;321;22333;12165;139226;44135;586572;1444486;205031;5825;34602;6999;6477;0;0;1682102;;;574124;;;346964;;;;;3981691;;38738;;;;;10769;;;;;
2000;Janeiro;BA;10476457;13;5542123;11533707;0;7496476;23743858;2498647;177378;25695696;27277025;13374802;2302766;2022200;1218485;2446535;0;11923442;81027229;;;23138894;;;15699282;;;;;17001662;;687022;;;;;536498;;;;;
2000;Janeiro;CE;5576921;0;4535653;3148254;0;1734529;3716458;1971500;59874;13247447;15940490;6311419;948600;1941958;745659;114393;0;4547426;36892799;;;8743377;;;6505382;;;;;8618224;;506146;;;;;143952;;;;;
2000;Janeiro;DF;2254341;43;3197500;2777942;0;2079272;2433339;3067374;3913461;71582680;257391352;124316928;7145075;35581549;22472279;64578;0;240726401;141910257;;;61028823;;;27194137;;;;;74389957;;534320;;;;;33937318;;;;;
2000;Janeiro;ES;31950799;0;3598736;20408;1503039;26840430;4036463;1620843;2542;29105465;9380778;10515327;4717282;1703727;491261;1563052;0;28681;49157907;;;13289266;;;12890143;;;;;6038251;;2164901;;;;;382985;;;;;
2000;Janeiro;GO;3747911;0;3236092;5064141;1091185;986314;2654994;1401385;45754;18823998;13094463;6275215;132749;1043647;638840;2269467;0;3912150;47986002;;;13569190;;;8180079;;;;;7394364;;658643;;;;;403579;;;;;
2000;Janeiro;MA;1714749;69;1124738;4061569;0;206691;484436;479170;4832;3251185;4149532;781569;1130;289120;86071;593391;0;612313;9654439;;;5104547;;;2283622;;;;;2966912;;120868;;;;;121337;;;;;
2000;Janeiro;MG;35549181;57;15511142;12111623;29305691;15049305;38667924;11038328;3416372;83378349;73410958;77963069;11600682;15573355;3835234;5262680;0;18475116;173737137;;;44074747;;;41904953;;;;;32234994;;1880050;;;;;1190058;;;;;
2000;Janeiro;MS;437668;0;899850;268111;0;365983;626188;1926537;7972;3983857;4331201;797218;26225;194378;52490;1376859;0;210638;13141747;;;3865681;;;2249894;;;;;4298541;;136823;;;;;227936;;;;;
2000;Janeiro;MT;302002;0;1837228;2734966;0;98807;322126;537577;5356;5998492;6702247;506327;287788;518377;122986;5965591;0;622603;14454666;;;5290254;;;3544619;;;;;4516488;;255856;;;;;286198;;;;;
2000;Janeiro;PA;1321715;0;2506107;1255572;0;771308;842141;885476;1687010;10397922;9891932;1452409;271488;689009;293485;892163;0;2996773;17597074;;;5839339;;;5853614;;;;;9415007;;314129;;;;;158348;;;;;
2000;Janeiro;PB;1351422;0;1971817;5556557;0;763383;1729472;531092;6819;8455014;9164933;1315192;215491;193623;113133;38801;0;186368;11047735;;;3084360;;;2936019;;;;;10933455;;194863;;;;;49780562;;;;;
2000;Janeiro;PE;6268803;13;6167644;5650794;0;2688235;8230496;1679485;245392;15783042;26054337;38164839;983356;2266139;519577;7442780;0;2893853;51098148;;;14322361;;;8608550;;;;;15511663;;796051;;;;;312474;;;;;
2000;Janeiro;PI;382374;0;1001688;2261830;0;88220;261477;291999;16605;4285628;3839267;1119727;58819;165302;30629;469071;0;182915;8970699;;;3232042;;;2280136;;;;;3823880;;99030;;;;;73288;;;;;
2000;Janeiro;PR;45984119;0;10114872;5045577;12768408;23702615;26596165;5748682;3925211;60829302;39875650;54801093;5692244;3876963;9880454;1398281;0;73908984;134479291;;;29738452;;;26556999;;;;;10729415;;1127493;;;;;881395;;;;;
2000;Janeiro;RJ;54679975;110;24542326;30839175;4605;28145513;47564082;36256377;19404254;181047892;247291061;290260344;58121620;0;12710303;164156;0;35680049;873100045;;;200959432;;;73286433;;;;;70462373;;4118315;;;;;12538119;;;;;
2000;Janeiro;RN;997074;0;1849649;1973085;0;586673;150429;493904;4783;3791527;9790539;3138513;201215;452018;11143;232929;0;65459;13165671;;;2998136;;;2869106;;;;;7668904;;176400;;;;;41888;;;;;
2000;Janeiro;RO;10184;0;604552;0;0;6453;26622;703484;0;2405470;7955556;377430;2316;75311;7432;3955659;0;39126;6446545;;;3227568;;;1569921;;;;;9979258;;64964;;;;;35417;;;;;
